locale,mcd_fips,PRETOT24,PREDEM24,PREREP24,USSTOT24,USSDEM24,USSREP24,GOVTOT22,GOVDEM22,GOVREP22,USSTOT22,USSDEM22,USSREP22,PRETOT20,PREDEM20,PREREP20,GOVTOT18,GOVDEM18,GOVREP18,USSTOT18,USSDEM18,USSREP18,PRETOT16,PREDEM16,PREREP16,USSTOT16,USSDEM16,USSREP16,GOVTOT14,GOVDEM14,GOVREP14,GOVTOT12,GOVDEM12,GOVREP12,PRETOT12,PREDEM12,PREREP12,USSTOT12,USSDEM12,USSREP12,GOVTOT10,GOVDEM10,GOVREP10,USSTOT10,USSDEM10,USSREP10,PRETOT08,PREDEM08,PREREP08,GOVTOT06,GOVDEM06,GOVREP06,USSTOT06,USSDEM06,USSREP06,PRETOT04,PREDEM04,PREREP04,USSTOT04,USSDEM04,USSREP04,GOVTOT02,GOVDEM02,GOVREP02,PRETOT00,PREDEM00,PREREP00,USSTOT00,USSDEM00,USSREP00
V BAYSIDE,5507905450,3118,2174,881,3103,2168,899,2587,1915,661,2592,1868,717,3079,2184,866,2720,1711,982,2709,1850,855,2864,1849,866,2865,1709,1127,2413,1294,1109,2529,1307,1214,2843,1562,1258,2807,1497,1288,2353,1348,999,2364,1404,954,2871,1747,1100,2329,1433,875,2284,1697,543,2885,1609,1252,2872,1859,1010,2052,1099,846,2819,1552,1209,2790,1887,891
V BROWN DEER,5507910375,7372,5359,1895,7300,5325,1841,5812,4271,1497,5805,4199,1598,7463,5325,2010,6433,4302,2026,6392,4583,1802,6917,4408,2038,6834,4290,2407,6010,3555,2397,6307,3635,2639,7366,4655,2621,7223,4448,2654,5658,3294,2328,5669,3314,2318,7206,4437,2689,5211,2916,2213,5119,3661,1341,7087,3679,3343,7009,4076,2902,4630,2315,2033,6669,3274,3167,6566,4106,2386
C CUDAHY,5507917975,9530,5132,4254,9418,5200,3981,7271,4228,2958,7270,4114,3136,9519,5146,4229,7953,4243,3522,7889,4687,3181,9048,4514,3939,8934,4525,4094,7346,3645,3594,8079,4040,3983,9938,5621,4185,9709,5404,4030,6947,3423,3448,6976,3423,3480,9531,5414,3956,6963,3848,2983,6782,4879,1694,9942,5381,4445,9773,5808,3918,5860,3098,2085,9303,4923,3958,9129,6132,2876
V FOX POINT,5507927075,4907,3435,1381,4872,3390,1430,4360,3070,1268,4373,2998,1369,4992,3492,1429,4300,2570,1691,4285,2808,1473,4504,2790,1425,4502,2537,1920,3829,1926,1876,4037,1966,2057,4610,2426,2148,4533,2308,2173,3784,1995,1771,3803,2045,1747,4562,2573,1945,3644,2075,1532,3578,2490,990,4561,2401,2121,4525,2674,1833,3252,1604,1509,4433,2213,2090,4373,2734,1611
C FRANKLIN,5507927300,23093,10154,12191,22752,10191,12058,17983,8387,9453,17937,7976,9924,22198,10048,11875,18390,7208,10930,18269,8459,9796,19768,8048,10569,19699,7394,11913,16368,5590,10653,16767,5834,10884,20152,8163,11849,19766,7878,11525,15022,5397,9534,15052,5365,9605,19257,8347,10691,13865,5812,7886,13639,8314,5013,18418,7222,11082,18172,8344,9760,10511,4038,5553,15429,5955,8993,15216,8496,6595
C GLENDALE,5507929400,8845,6430,2237,8768,6403,2220,7360,5453,1845,7354,5376,1963,8780,6312,2326,7675,5060,2523,7655,5420,2225,8070,5313,2309,8066,5053,2890,7178,4208,2899,7471,4351,3088,8667,5356,3218,8508,5139,3236,6873,4134,2720,6899,4175,2689,8546,5396,3053,6751,4110,2554,6666,4914,1535,8630,4962,3558,8554,5470,3043,6048,3318,2376,8244,4543,3398,8140,5496,2558
V GREENDALE,5507931125,9377,4797,4390,9266,4737,4366,7681,4053,3558,7666,3868,3780,9439,4785,4512,8151,3618,4417,8095,4091,3989,8499,3815,4136,8589,3609,4832,7456,2857,4526,7959,3060,4863,9110,3996,5029,8938,3839,4925,7219,2839,4347,7233,2865,4335,8935,4063,4768,7276,3264,3915,7142,4466,2453,9226,3772,5345,9115,4315,4758,6372,2566,3303,8932,3589,5062,8821,4975,3777
C GREENFIELD,5507931175,21564,11036,10061,21242,11055,9731,16448,8886,7390,16403,8515,7856,20981,10798,9890,17656,8292,9018,17523,9415,8080,19366,8767,9290,19052,8388,10167,15858,6656,9043,16793,7170,9527,20378,9750,10422,19923,9446,10054,14923,6361,8432,14948,6313,8522,20009,10012,9723,14930,7421,7289,14708,9946,4397,20670,9588,10900,20361,10681,9587,12296,5512,5696,18957,8740,9482,18636,11509,6943
V HALES CORNERS,5507932075,4818,2177,2547,4771,2192,2486,3808,1831,1949,3796,1746,2043,4793,2241,2479,3976,1655,2254,3940,1881,2056,4418,1722,2389,4409,1646,2671,3767,1358,2366,4077,1466,2593,4718,1862,2799,4644,1822,2736,3627,1274,2324,3628,1286,2324,4570,1893,2614,3490,1466,1978,3411,2075,1210,4655,1752,2866,4603,2096,2495,2921,1122,1578,4461,1653,2644,4394,2353,1994
C OAK CREEK,5507958800,21720,10056,11096,21393,10145,10691,16083,7853,8068,16056,7598,8427,20803,9850,10562,16306,7185,8845,16176,8177,7968,17833,7639,9039,17584,7242,9943,14184,5486,8564,15066,6017,8997,18650,8442,10033,18316,8144,9787,12892,4953,7852,12914,4945,7881,17531,8513,8831,12508,5724,6581,12276,7887,4072,17712,7783,9808,17432,8768,8599,8684,3698,4053,14622,6270,7847,14353,8612,5599
